"repo_name","actor_login","type","created_at"
"LinYu94/WeChat_CrowdSourcingPlatform","LinYu94","WatchEvent","""2016-10-12T02:32:11.000Z"""
"willard-yuan/CNN-for-Image-Retrieval","whutxutao","WatchEvent","""2016-10-12T02:41:37.000Z"""
"jeasonlzy/AlphaIndicatorView","JyunTimLu","WatchEvent","""2016-10-12T21:23:25.000Z"""
"willfarrell/alfred-workflows","tjmehta","WatchEvent","""2016-10-12T21:27:26.000Z"""
"Leonidas-from-XIV/node-xml2js","maiis","WatchEvent","""2016-10-12T21:53:24.000Z"""
"yannickcr/eslint-plugin-react","maiis","WatchEvent","""2016-10-12T21:46:54.000Z"""
"mvz/email-outlook-message-perl","brablc","WatchEvent","""2016-10-12T21:38:39.000Z"""
"joshnuss/design-patterns-in-elixir","amacgregor","WatchEvent","""2016-10-12T11:23:00.000Z"""
"apoterenko/software-development-ebooks","uptonking","WatchEvent","""2016-10-12T11:56:07.000Z"""
"bin456789/Unblock163MusicClient-Xposed","tony8077616","WatchEvent","""2016-10-12T11:53:29.000Z"""
"sindresorhus/notifier-for-github-safari","derhuerst","WatchEvent","""2016-10-12T11:16:24.000Z"""
"wesbos/React-For-Beginners-Starter-Files","alexHlebnikov","WatchEvent","""2016-10-12T11:37:05.000Z"""
"vvanholl/elasticsearch-prometheus-exporter","tamsky","WatchEvent","""2016-10-12T11:36:46.000Z"""
"imperialchem/python-data-viz-intro","amarsh1","WatchEvent","""2016-10-12T20:57:25.000Z"""
"jwasham/google-interview-university","allensallinger","WatchEvent","""2016-10-12T20:01:33.000Z"""
"letsgoexploring/linearsolve-package","lachlandeer","WatchEvent","""2016-10-12T20:36:40.000Z"""
"kelseyhightower/kubernetes-the-hard-way","Otienoh","WatchEvent","""2016-10-12T20:41:26.000Z"""
"dennybritz/reinforcement-learning","bvisch","WatchEvent","""2016-10-12T21:03:27.000Z"""
"michhar/useR2016-tutorial-jupyter","RaoOfPhysics","WatchEvent","""2016-10-12T21:01:10.000Z"""
"laardee/serverless-authentication-boilerplate","xeb","WatchEvent","""2016-10-12T21:53:26.000Z"""
"rails/rails","flykiwi","WatchEvent","""2016-10-12T14:38:36.000Z"""
"rails/jbuilder","ruthtillman","WatchEvent","""2016-10-12T20:04:51.000Z"""
"Shopify/identity_cache","allibubba","WatchEvent","""2016-10-12T18:33:00.000Z"""
"github/gitignore","clown-0726","WatchEvent","""2016-10-12T05:15:13.000Z"""
"github/fetch","dortonway","WatchEvent","""2016-10-12T08:45:37.000Z"""
"github/hubot-scripts","kmx210044","WatchEvent","""2016-10-12T20:41:24.000Z"""
"Khan/aphrodite","devdlabs","WatchEvent","""2016-10-12T18:31:25.000Z"""
"yahoo/gifshot","XylitolLin","WatchEvent","""2016-10-12T03:49:32.000Z"""
"yahoo/open_nsfw","OuIChien","WatchEvent","""2016-10-12T03:02:44.000Z"""
"yahoo/strip-loader","abou7mied","WatchEvent","""2016-10-12T10:49:33.000Z"""
"yahoo/open_nsfw","wyf0931","WatchEvent","""2016-10-12T02:18:20.000Z"""
"git/git","jthegedus","WatchEvent","""2016-10-12T01:28:28.000Z"""
"pressly/sup","awsom82","WatchEvent","""2016-10-12T22:43:25.000Z"""
"pinax/pinax-theme-bootstrap","fakegit","WatchEvent","""2016-10-12T15:20:18.000Z"""
"django/django","JCepedaVillamayor","WatchEvent","""2016-10-12T18:37:22.000Z"""
"chef/artifactory-client","errnoh","WatchEvent","""2016-10-12T16:50:19.000Z"""
"chef/bento","ruyrybeyro","WatchEvent","""2016-10-12T12:13:05.000Z"""
"filamentgroup/select-css","robertsonodom","WatchEvent","""2016-10-12T20:09:29.000Z"""
"mirror/firmware-mod-kit","soxfmr","WatchEvent","""2016-10-12T07:48:32.000Z"""
"apache/spark","ducnd412","WatchEvent","""2016-10-12T00:17:08.000Z"""
"apache/spark","previousdeveloper","WatchEvent","""2016-10-12T12:17:27.000Z"""
"apache/lucene-solr","leopeng1995","WatchEvent","""2016-10-12T02:50:21.000Z"""
"Yelp/dataset-examples","mrkbryn","WatchEvent","""2016-10-12T03:56:16.000Z"""
"gentoo/java-ebuilder","timeraider4u","WatchEvent","""2016-10-12T23:58:01.000Z"""
"mono/CppSharp","gsolic","WatchEvent","""2016-10-12T07:22:53.000Z"""
"eclipse/paho.mqtt.golang","itsky365","WatchEvent","""2016-10-12T05:51:05.000Z"""
"cplusplus/concurrency_ts","wangjieest","WatchEvent","""2016-10-12T03:06:26.000Z"""
"phonegap/phonegap-plugin-push","henry701","WatchEvent","""2016-10-12T03:32:04.000Z"""
"nmap/npcap","ycn","WatchEvent","""2016-10-12T11:50:55.000Z"""
"facebook/react","dmackinn","WatchEvent","""2016-10-12T03:54:33.000Z"""
"facebook/rocksdb","ekiramdhani","WatchEvent","""2016-10-12T23:09:23.000Z"""
"facebook/pop","ejmarchant","WatchEvent","""2016-10-12T01:38:15.000Z"""
"facebook/fboss","spkdroid","WatchEvent","""2016-10-12T01:32:07.000Z"""
"facebook/react","coenert","WatchEvent","""2016-10-12T16:21:34.000Z"""
"facebook/react-native","huang-weidong","WatchEvent","""2016-10-12T06:25:46.000Z"""
"facebook/AsyncDisplayKit","aiadaniel","WatchEvent","""2016-10-12T12:03:53.000Z"""
"facebook/react","lefter","WatchEvent","""2016-10-12T09:19:04.000Z"""
"facebook/dataloader","Tyler-Murphy","WatchEvent","""2016-10-12T18:48:22.000Z"""
"facebook/react-native","mooqoo","WatchEvent","""2016-10-12T02:58:33.000Z"""
"facebook/facebook-ios-sdk","BruceConner","WatchEvent","""2016-10-12T02:57:27.000Z"""
"facebook/react-native","jawidx","WatchEvent","""2016-10-12T07:10:33.000Z"""
"facebook/NAMAS","Bukati","WatchEvent","""2016-10-12T11:19:46.000Z"""
"jquery/jquery","plus3x","WatchEvent","""2016-10-12T09:59:42.000Z"""
"vinsol/nectarcommerce","belaustegui","WatchEvent","""2016-10-12T12:57:27.000Z"""
"teragonaudio/MrsWatson","ragnaringi","WatchEvent","""2016-10-12T13:16:42.000Z"""
"square/okhttp","qiushiding","WatchEvent","""2016-10-12T01:42:23.000Z"""
"square/metrics","h7kanna","WatchEvent","""2016-10-12T22:05:02.000Z"""
"square/retrofit","winziyuan","WatchEvent","""2016-10-12T09:14:23.000Z"""
"cloudera/hue","JiananBear","WatchEvent","""2016-10-12T05:39:18.000Z"""
"redmine/redmine","testman42","WatchEvent","""2016-10-12T22:45:34.000Z"""
"jenkinsci/jenkins","cuichongyang","WatchEvent","""2016-10-12T01:42:23.000Z"""
"v8/v8","YuraMalahov","WatchEvent","""2016-10-12T20:18:40.000Z"""
"cookpad/license-tools-plugin","oniatsu","WatchEvent","""2016-10-12T03:56:15.000Z"""
"plataformatec/devise","futurecarpenters","WatchEvent","""2016-10-12T03:23:17.000Z"""
"mozilla/cipherscan","tjbergens","WatchEvent","""2016-10-12T13:18:08.000Z"""
"mozilla/geckodriver","andreicristianpetcu","WatchEvent","""2016-10-12T15:40:41.000Z"""
"angular/angular","ravireddy667","WatchEvent","""2016-10-12T23:22:19.000Z"""
"angular/angular-cn","rong1005","WatchEvent","""2016-10-12T05:40:12.000Z"""
"angular/quickstart","ScottTamg","WatchEvent","""2016-10-12T06:58:54.000Z"""
"angular/angular.js","lian1327","WatchEvent","""2016-10-12T12:28:32.000Z"""
"angular/universal-starter","Silvercast","WatchEvent","""2016-10-12T12:08:52.000Z"""
"angular/universal","laland","WatchEvent","""2016-10-12T09:22:04.000Z"""
"angular/angular-seed","le-garff-yoann","WatchEvent","""2016-10-12T15:10:27.000Z"""
"angular/angular.js","SimonCheung1989","WatchEvent","""2016-10-12T07:21:36.000Z"""
"angular/angular-cli","netEmmanuel","WatchEvent","""2016-10-12T11:14:24.000Z"""
"znc/znc","fkm","WatchEvent","""2016-10-12T13:20:29.000Z"""
"dflydev/dflydev-markdown","pikonori","WatchEvent","""2016-10-12T08:28:00.000Z"""
"happyworm/jPlayer","ywg228","WatchEvent","""2016-10-12T05:50:54.000Z"""
"groupon/nlm","jiangzhuo","WatchEvent","""2016-10-12T09:45:46.000Z"""
"mailchimp/email-blueprints","martin-magakian","WatchEvent","""2016-10-12T19:50:14.000Z"""
"embedly/loading-animation","dhamaniasad","WatchEvent","""2016-10-12T17:06:53.000Z"""
"ipython/ipython","3b295","WatchEvent","""2016-10-12T13:21:27.000Z"""
"spotify/docker-gc","wootsaejao","WatchEvent","""2016-10-12T08:26:51.000Z"""
"spotify/annoy","akshayparopkari","WatchEvent","""2016-10-12T13:57:30.000Z"""
"spotify/luigi","FlorianLudwig","WatchEvent","""2016-10-12T09:55:12.000Z"""
"spotify/dh-virtualenv","sambonner","WatchEvent","""2016-10-12T20:19:42.000Z"""
"fusesource/mqtt-client","captain-miao","WatchEvent","""2016-10-12T09:49:26.000Z"""
"cloudflare/challenge-bypass-specification","blakejakopovic","WatchEvent","""2016-10-12T10:24:11.000Z"""
"spring-projects/spring-framework","hongzhenglin","WatchEvent","""2016-10-12T08:54:36.000Z"""
"spring-projects/spring-mvc-showcase","spaapap","WatchEvent","""2016-10-12T14:32:03.000Z"""
"spring-projects/spring-data-examples","zhouqingwen","WatchEvent","""2016-10-12T11:22:51.000Z"""
"clojure/clojurescript","igsys","WatchEvent","""2016-10-12T11:08:52.000Z"""
"playframework/playframework","birtanyildiz","WatchEvent","""2016-10-12T10:02:01.000Z"""
"cucumber/cucumber-js","noahehall","WatchEvent","""2016-10-12T12:36:13.000Z"""
"cucumber/cucumber-jvm","Pozo","WatchEvent","""2016-10-12T13:39:42.000Z"""
"openstack/manila","zakame","WatchEvent","""2016-10-12T15:31:32.000Z"""
"cerebris/jsonapi-resources","glebmikulko","WatchEvent","""2016-10-12T10:47:35.000Z"""
"sematext/sematext-logsene-android","tsroka","WatchEvent","""2016-10-12T23:34:08.000Z"""
"FasterXML/jackson","MustangRxm","WatchEvent","""2016-10-12T13:02:04.000Z"""
"scality/S3","dhekimian","WatchEvent","""2016-10-12T21:16:27.000Z"""
"bumptech/glide","wenzhihao123","WatchEvent","""2016-10-12T02:29:17.000Z"""
"Unity-Technologies/PostProcessing","maxtoto","WatchEvent","""2016-10-12T01:53:02.000Z"""
"Unity-Technologies/PostProcessing","miximixim","WatchEvent","""2016-10-12T01:27:00.000Z"""
"Unity-Technologies/PostProcessing","akof1314","WatchEvent","""2016-10-12T11:54:21.000Z"""
"medialize/URI.js","emmaplus","WatchEvent","""2016-10-12T09:12:57.000Z"""
"Feldspar/raw-feldspar","enobayram","WatchEvent","""2016-10-12T08:41:01.000Z"""
"Huddle/PhantomCSS","geechrist","WatchEvent","""2016-10-12T05:07:16.000Z"""
"libgdx/gdx-ai","wlhjkl","WatchEvent","""2016-10-12T07:58:09.000Z"""
"bitcoin/bitcoin","windcodemonkey","WatchEvent","""2016-10-12T12:19:34.000Z"""
"bitcoin/bitcoin","aniddan","WatchEvent","""2016-10-12T18:08:27.000Z"""
"seajs/seajs","ChaoQ","WatchEvent","""2016-10-12T02:35:00.000Z"""
"Instagram/IGListKit","wtmoose","WatchEvent","""2016-10-12T04:09:34.000Z"""
"Instagram/IGListKit","iBenjamin","WatchEvent","""2016-10-12T03:22:15.000Z"""
"Instagram/IGListKit","aetern","WatchEvent","""2016-10-12T03:34:50.000Z"""
"Instagram/IGListKit","Fourni-j","WatchEvent","""2016-10-12T14:05:37.000Z"""
"Instagram/IGListKit","singro","WatchEvent","""2016-10-12T12:01:00.000Z"""
"Instagram/IGListKit","frytaz","WatchEvent","""2016-10-12T12:03:53.000Z"""
"Instagram/IGListKit","mttcrsp","WatchEvent","""2016-10-12T09:26:53.000Z"""
"Instagram/IGListKit","n8chur","WatchEvent","""2016-10-12T02:06:19.000Z"""
"Instagram/IGListKit","Kudo","WatchEvent","""2016-10-12T02:32:38.000Z"""
"Instagram/IGListKit","RolandSung","WatchEvent","""2016-10-12T02:06:25.000Z"""
"Instagram/IGListKit","duxinfeng","WatchEvent","""2016-10-12T15:18:45.000Z"""
"Instagram/IGListKit","iTerokhin","WatchEvent","""2016-10-12T11:28:08.000Z"""
"Instagram/IGListKit","Jasonvvei","WatchEvent","""2016-10-12T13:56:30.000Z"""
"Instagram/IGListKit","Gerharbo","WatchEvent","""2016-10-12T21:25:55.000Z"""
"telerik/JustDecompileEngine","F0NT3","WatchEvent","""2016-10-12T16:37:36.000Z"""
"AgilionApps/remix","t-gebauer","WatchEvent","""2016-10-12T12:37:25.000Z"""
"alphagov/govuk_frontend_toolkit","shawnbot","WatchEvent","""2016-10-12T20:44:16.000Z"""
"mapbox/mapbox-gl-native","frankkanis","WatchEvent","""2016-10-12T21:05:47.000Z"""
"resume/resume.github.com","daj0ker","WatchEvent","""2016-10-12T13:10:00.000Z"""
"DDMAL/diva.js","jarmitage","WatchEvent","""2016-10-12T21:27:57.000Z"""
"getlantern/lantern-binaries","fenglyu","WatchEvent","""2016-10-12T22:28:35.000Z"""
"getlantern/lantern","mingzhaocn","WatchEvent","""2016-10-12T07:41:56.000Z"""
"Neohapsis/bbqsql","tylerdurden2010","WatchEvent","""2016-10-12T08:26:40.000Z"""
"careercup/ctci","GeminiGuy","WatchEvent","""2016-10-12T14:50:42.000Z"""
"moai/moai-dev","sanzenwin","WatchEvent","""2016-10-12T06:48:51.000Z"""
"airbnb/caravel","xuqisheng","WatchEvent","""2016-10-12T08:52:03.000Z"""
"airbnb/javascript","AmBeta","WatchEvent","""2016-10-12T08:50:57.000Z"""
"airbnb/react-dates","lgraubner","WatchEvent","""2016-10-12T11:12:59.000Z"""
"WhisperSystems/Signal-Desktop","suwenyin","WatchEvent","""2016-10-12T04:20:58.000Z"""
"ha/doozerd","mitghi","WatchEvent","""2016-10-12T21:49:29.000Z"""
"Yalantis/ForceBlur","jeslyvarghese","WatchEvent","""2016-10-12T04:40:41.000Z"""
"Yalantis/ForceBlur","jasnig","WatchEvent","""2016-10-12T10:33:37.000Z"""
"openenergymonitor/EmonLib","DeToNeS","WatchEvent","""2016-10-12T12:02:35.000Z"""
"clips/pattern","MicaWR","WatchEvent","""2016-10-12T17:34:37.000Z"""
"kriasoft/Folder-Structure-Conventions","hexicle","WatchEvent","""2016-10-12T22:22:56.000Z"""
"oddbird/true","BiosSun","WatchEvent","""2016-10-12T10:12:55.000Z"""
"sourcelair/xterm.js","marvinhagemeister","WatchEvent","""2016-10-12T10:01:55.000Z"""
"sourcelair/ceryx","ericm-voicebox","WatchEvent","""2016-10-12T15:54:29.000Z"""
"freebsd/crochet","tarcisiocjr","WatchEvent","""2016-10-12T00:49:17.000Z"""
"flurry/android-TumblrSharingSample","morristech","WatchEvent","""2016-10-12T06:53:03.000Z"""
"yakamara/redaxo_yakicon","DanielWeitenauer","WatchEvent","""2016-10-12T16:58:54.000Z"""
"HIT-SCIR/ltp","xinzirui","WatchEvent","""2016-10-12T15:01:48.000Z"""
"goldendict/goldendict","shdxiang","WatchEvent","""2016-10-12T04:09:27.000Z"""
"futurice/pepperoni-app-kit","tmxyz","WatchEvent","""2016-10-12T19:10:28.000Z"""
"Automattic/expect.js","sprusia","WatchEvent","""2016-10-12T15:13:30.000Z"""
"Netflix/Fenzo","chtefi","WatchEvent","""2016-10-12T12:28:33.000Z"""
"Netflix/security_monkey","ntkach","WatchEvent","""2016-10-12T15:45:49.000Z"""
"aerogear/aerogear-ios-oauth2","anass-b","WatchEvent","""2016-10-12T16:48:17.000Z"""
"cytoscape/cytoscape.js","winguse","WatchEvent","""2016-10-12T00:24:39.000Z"""
"laravel/laravel","zyterence","WatchEvent","""2016-10-12T09:48:11.000Z"""
"shoutem/ui","anhnt","WatchEvent","""2016-10-12T16:19:31.000Z"""
"usagov/Social-Media-Registry-API-Documentation","tspannhw","WatchEvent","""2016-10-12T18:46:30.000Z"""
"KSET/OKOSL","skuxy","WatchEvent","""2016-10-12T21:45:55.000Z"""
"atom/atom","pootispenser1985","WatchEvent","""2016-10-12T02:46:36.000Z"""
"libpd/libpd","everamzah","WatchEvent","""2016-10-12T11:53:39.000Z"""
"h5bp/html5-boilerplate","winziyuan","WatchEvent","""2016-10-12T09:35:40.000Z"""
"scalastyle/scalastyle","manhluong","WatchEvent","""2016-10-12T10:51:26.000Z"""
"AFNetworking/AFNetworking","callmeSJ","WatchEvent","""2016-10-12T16:34:41.000Z"""
"maxmind/GeoIP2-php","gorangalinec","WatchEvent","""2016-10-12T20:00:04.000Z"""
"pyinstaller/pyinstaller","DullBottle","WatchEvent","""2016-10-12T08:00:49.000Z"""
"douban/rexxar-web","Elildo","WatchEvent","""2016-10-12T21:24:07.000Z"""
"badoo/Chatto","daviskoh","WatchEvent","""2016-10-12T20:07:59.000Z"""
"badoo/Chatto","Ch3ck","WatchEvent","""2016-10-12T21:56:57.000Z"""
"pydata/pandas","ozlemmye","WatchEvent","""2016-10-12T15:37:02.000Z"""
"celluloid/celluloid","kevgathuku","WatchEvent","""2016-10-12T09:17:45.000Z"""
"ParsePlatform/parse-server","listingslab","WatchEvent","""2016-10-12T11:05:18.000Z"""
"firebase/firebase-util","ericf","WatchEvent","""2016-10-12T18:30:22.000Z"""
"Kaggle/docker-python","lins05","WatchEvent","""2016-10-12T04:13:51.000Z"""
"google/lovefield","korakot","WatchEvent","""2016-10-12T08:42:30.000Z"""
"google/j2objc","xiejinsong","WatchEvent","""2016-10-12T16:29:56.000Z"""
"google/canvas-5-polyfill","spkdroid","WatchEvent","""2016-10-12T01:33:11.000Z"""
"google/material-design-lite","wkwksama","WatchEvent","""2016-10-12T01:30:01.000Z"""
"google/protobuf","lkxiaolou","WatchEvent","""2016-10-12T14:52:27.000Z"""
"google/protobuf","willqian","WatchEvent","""2016-10-12T06:27:45.000Z"""
"google/recaptcha","kzbandai","WatchEvent","""2016-10-12T18:28:33.000Z"""
"google/gson","watermpy","WatchEvent","""2016-10-12T11:30:48.000Z"""
"google/material-design-lite","obi-jan-kenobi","WatchEvent","""2016-10-12T11:50:27.000Z"""
"google/gxui","danielmenzen","WatchEvent","""2016-10-12T20:11:21.000Z"""
"KeepSafe/TapTargetView","RigarSu","WatchEvent","""2016-10-12T02:26:22.000Z"""
"getsentry/sentry","dkoudlo","WatchEvent","""2016-10-12T16:09:58.000Z"""
"nginx/nginx","KamataRyo","WatchEvent","""2016-10-12T12:15:26.000Z"""
"roundcube/roundcubemail","CodeBlueDev","WatchEvent","""2016-10-12T02:41:33.000Z"""
"balderdashy/sails","winziyuan","WatchEvent","""2016-10-12T09:58:33.000Z"""
"Homebrew/homebrew-core","unixfox","WatchEvent","""2016-10-12T19:24:03.000Z"""
"ansible/ansible","xidianwlc","WatchEvent","""2016-10-12T04:07:35.000Z"""
"card-io/card.io-iOS-source","KevinBaiSg","WatchEvent","""2016-10-12T08:06:42.000Z"""
"angular-ui/bootstrap","angeal185","WatchEvent","""2016-10-12T02:20:10.000Z"""
"dianping/pigeon","ArayZou","WatchEvent","""2016-10-12T02:12:22.000Z"""
"jMonkeyEngine/jmonkeyengine","ddwhan0123","WatchEvent","""2016-10-12T03:24:42.000Z"""
"zalando/zalando-howto-open-source","kangashley","WatchEvent","""2016-10-12T17:42:12.000Z"""
"caffeinalab/siriwavejs","rafaelrinaldi","WatchEvent","""2016-10-12T18:17:00.000Z"""
"codeablehq/DockerWordPress","tvanantwerp","WatchEvent","""2016-10-12T14:24:15.000Z"""
"cvdlab/react-planner","cranesandcaff","WatchEvent","""2016-10-12T11:39:58.000Z"""
"elefunds/elefunds-Magento","ENM1989","WatchEvent","""2016-10-12T16:29:17.000Z"""
"3wks/thundr-gae","depsypher","WatchEvent","""2016-10-12T01:36:57.000Z"""
"01org/ciao","llandwerlin-intel","WatchEvent","""2016-10-12T11:06:32.000Z"""
